feature,importance_mean,importance_std
previous courses_Double Bass Jazz Trumpet Introduction to Current Topics in Psychology Intermediate Latin Afro-American Hist Since 1877 Solid Mechanics Design Beginning Sculpture Business Problem Formulation and Solution Behavior of Materials Commodity Price Analysis Food and; Industrial Microbiology Philanthropy and; Social Justice Equilibrium and Welfare Econ Enzyme Reaction Mechanisms Topics in American Politics Recent Developments in Soc Algebraic Topology I,0.00016859397292137145,5.588213712374979e-05
"previous courses_Drawing for Non-Majors Jazz Guitar Jazz Voice Undergraduate Open Seminar in Computer Science US History Since 1877 Navigation/Naval Operations I Human Anatomy and; Physiology II Applied Medical Terminology for the Health Professional Spanish Composition Chicana/Latina Autobiography, Memoir, Testimonio Designing Everyday Life in Modern Japan Undergraduate Seminar Pathobiology Advanced Euphonium Advanced Jazz Guitar Population Genetics Energy and Security History of World Landscapes Graduate Level Horn Engineering Practice District Change for Equity and Social Justice Special Topics Communications in Practice",0.0,0.0
previous courses_Electric Violin Unit One Sem Instruct in Music Intro to Philosophy-ACP Clarinet Ethics and Social Policy Elements of Conducting Elementary Zulu II Spec Topics in Art History Environment and Society Introduction to Statics Aerospace Control Systems Latina/o Media in the US Special Topics in Planning Organic Chemistry Lab HR Management in RST Physical Inorganic Chemistry Integrated Health Care Policy and Services Protein and Energy Nutrition Independent Study Adv Steel Design Equine Veterinary Husbandry Data Science and Analytics Combinatorial Mathematics Sustainable Urban Systems Banking and Financial Regulation Queer Theories and; Methods Advanced Academic Writing,0.0,0.0
previous courses_Elementary French II Horn Electric Viola Social Innovations for Global Challenges East Asian Civilizations Ecology and; Environmental Sustainability Beginning Painting Language and Culture in Turkey Religion in Contemp America Green Electric Energy Computing in the Humanities Race and Cultural Diversity Locating Queer Culture Disciplinary Literacy Intro to Combinatorics Linear Programming Intro Historical Writing Mass and Ion Transport in Polymers,0.0,0.0
"previous courses_Emergence of Life Intermediate Scandinavian II Close Relationships Popular Cultures of Contemporary East Asia Indian Cinema in Context Intro to Intl Security Renaissance Literature and Culture Psychological Statistics Incompressible Flow Instrumentation and Test Lab Water Planet, Water Crisis Synoptic Weather Forecasting Data Structures for Computer Science Teachers Research Methods in Journalism Program Evaluation Seminar Stochastic Calculus and; Numerical Models in Finance Independent Study Self-Designed Study Econometric Analysis II Seminar Employment Relations Systems",0.0,0.0
"previous courses_Engineering First-Year Experience Seminars Climate and Global Change Language and Culture in Turkey Politics of the National Parks Classical Mechanics I Fields and Waves II Number Theory Advanced Hindi II LGBT Indiv, Fam and; Community",0.0,0.0
previous courses_Engineering Graphics and; Design Jazz Guitar Leadership Laboratory School and; Community Experiences Study Abroad Communicating Agriculture Genetic Engineering Lab,0.0,0.0
"previous courses_Engineering Graphics and; Design Jazz Saxophone Indoor Court Activities Undergraduate Open Seminar Exp Techniqs in Molecular Biol School and; Community Experiences Animal Reproduction and Growth Experimental Microbiology System Programming Internship in Agricultural Leadership, Education and Communications Intl Organizationsand;Regionalism Clin and; Applied Ex Physiology The Lighting Laboratory LTI Studio Advanced Media Design Repertory Jazz Orchestra Graduate CHBE Internship Neurosurgery II Field Practicum III Current Concepts in Obesity and Metabolic Syndrome Neurocardiology Pediatric Hematology Anesthesiology Gastroenterology",0.0,0.0
previous courses_Engineering at Illinois Macroeconomic Principles Introduction to Communication Anthro in a Changing World Intro to Latin Literature Food Service Sanitation,0.0,0.0
"previous courses_Exploring Paris Religion and; Society in West II Tuba Jazz Trombone The Archaeology of Death Modern Masterpieces of Western Culture Foundations of Leadership Early Childhood Curriculum Dev Business in Action Tools for Sustainability Strategies of Persuasion Computing in the Humanities Inter Macroeconomic Theory Advanced Clarinet Num Control of Mfg Processes Race, Sex, and Deviance Differentiable Manifolds II Leadership in PBL II Mathematical Methods II Graduate Jazz Trombone Public School Policy/Services Prob Middle Eastern History Programming Language Semantics String Instrument Literature Special Studies in Soc Work I Criminal Law",0.0,0.0
previous courses_Expressive Drawing First-Year Russian II Intro to Academic Writing I Undergraduate Open Seminar Undergraduate Open Seminar,0.0,0.0
previous courses_Flute Little Bits to Big Ideas Vegetable Gardening Intro Computing: Engrg and; Sci Molec and; Cellular Laboratory,0.0,0.0
previous courses_General Chemistry Lab I Broadway Musicals Grp Instr Pno for Mus Maj IV FAA Study Abroad History of the Earth System UG Experiential Learning Acting Studio II: Acting Dance Documentation Control Systems Evolution,0.0,0.0
"previous courses_Harp Introduction to Graphic Design Unit One Sem Instruct in Music Undergraduate Open Seminar Child and Family Inclusion: Disability, Health, and Diversity Environmental Politics and; Policy Topics Contemp Pol Theory Francophone Worlds Electronic Properties of Matls",0.0,0.0
"previous courses_Injuries in Sport Climate and Global Change Exploring General Studies Undergraduate Open Seminar Business Analytics I Romantic Literature and Culture Linear Algebra with Computational Applications Masterpieces of East Asian Lit The History of Music II Colloquium in EALC Environmental Writing Elementary Organic Chem II Writing about Literature, Text, and Culture Topics in Medieval British and Irish Literature Retirement and; Benefit Planning Rocket Propulsion Quantitative Methods in NRES",0.0,0.0
previous courses_Injuries in Sport Mythology of Greece and Rome Undergraduate Open Seminar English Diction and Dialects Undergraduate Open Seminar Intro to Korea Through Film American Voices: Linguistic Diversity in the US Intro Differential Equations On Campus Internship Advanced Grammar Reading and Writing Data Behavior of Domestic Animals Introduction to Quantum Information and Computing,0.0,0.0
previous courses_Intensive Elementary Spanish Introduction to Art Afro-American Hist Since 1877 Data Structures Green Electric Energy Atg Measurement and; Disclosure Sport and Society Natural Resource Economics Feminist and; Gender Theory Introduction to Romance Linguistics Plants and Global Change Genre Studies in Musicology Introduction to Urology Graduate Level Trumpet Thesis Research Seminars in Physiology Econometrics HR Management and Strategy Applied Nonlinear Programming,0.0,0.0
previous courses_Intercultural Learning in Business Oboe Engineering Risk and; Uncertainty Self in Context Masterpieces of East Asian Lit Asian American History,-2.628108486533165e-05,7.289175047450547e-05
previous courses_Intro Gender and; Women's Studies Introduction to Electronics Relativity and; Math Applications Women in the Literary Imagination The Politics of Fashion Elementary Organic Chemistry I Power Ckts and; Electromechanics Introduction to Algorithms and; Models of Computation Inorganic Chemistry Physical Principles Lab I Advanced Income Tax Problems Unsupervised Learning Proseminar in Music Contemporary Issues in Vet Med Software Engineering for Health Technology Compensation Systems Practicum in African Studies Advanced Operating Systems Action Research and Educational Leadership String Instrument Literature,1.7697270959615707e-05,5.857481977122934e-05
previous courses_Intro Gender and; Women's Studies Professional Field Experiences Introduction to Public Health Trumpet Introduction to Sociology Design for Manufacturability Elementary Organic Chemistry I Communication and Public Opinion Intro to Public Relations Principles of Public Policy Surface Water System Chemistry Introduction to Data Mining Professional Practice Seminar I,0.0,0.0
previous courses_Intro Hospitality Management Jazz Trumpet Introductory Soils Physiology Intro to Social Issues Theatre Film Production,0.0,0.0
previous courses_Intro Labr Wrkng Class History Intro to Human Development Intro to Human Development,0.0,0.0
"previous courses_Intro to Creative Writing Elementary Spanish I Supp WW Inst: Flute Contemporary Nutrition Physical Activity and Health FAA Study Abroad US Racial and; Ethnic Politics Children's Movement URAP Research Apprenticeship Introduction to Statics Gender and Women in East Asia Behavior of Materials Spec Topics Afro-Am Studies Facility Management in Recreation, Sport and Tourism",0.0,0.0
previous courses_Intro to Human Development Anthro in a Changing World Stars and Galaxies Introduction to Spanish Grammar Mythology of Greece and Rome Motor Development and Control Development of Ancient Cities Intro Differential Equations,-3.756266087293625e-05,2.748497264606118e-05
previous courses_Intro to Polish Culture Little Bits to Big Ideas Molec and; Cellular Basis of Life General Chemistry Lab I,0.0,0.0
previous courses_Intro to Polish Culture Physical Activity and Health Undergraduate Open Seminar Foundations of Sport Mgt Survey of Interdisc Health Philosophy in Literature Intro Media/Cinema Topics GWS Internship Environmental Engineering Social Entre and; Social Change Economic Forecasting Advanced Bassoon Education for Global Environmental Sustainability Education Abroad,0.00021979883313179017,0.00016761526223003592
previous courses_Intro to Popular TV and; Movies General Chemistry Lab II Intermediate Spanish Elementary Greek II Computer Architecture Introductory Solid Mechanics Governing Globalization Beginning Sculpture Race and Cultural Diversity Family Communication Content Creation Practicum in Supply Chain Mgt Undergraduate Seminar Molecular Microbiology Special Topics in Harpsichord Community Ecology Biophotonics Graduate Electric Viola Practicum in African Studies PSM Industry Seminar II,0.0,0.0
previous courses_Introduction to Astronomy Introduction to Philosophy Latina/o Migration Introduction to Modern African Literature Spanish Composition,0.0,0.0
previous courses_Introduction to Game Studies and Design Intro to Human Development Orientation KIN and; Comm Health,0.0,0.0
"previous courses_Introduction to Information Sciences Contemporary Nutrition Theatre Foundations: Theory and Practice Writing and Research Health, Illness and Society Latina/o Popular Culture Asian Film Genres",5.905991420149803e-05,7.55871742867918e-05
"previous courses_Introduction to Public Health Introduction to Communication Oboe Intermediate Chinese II Leadership in Recreation, Sport and Tourism Individual Honors Study Behavior of Materials",0.0,0.0
"previous courses_Introduction to the History of Art and Visual Culture Intermediate French I Ethics and Social Policy Introduction to Spanish Grammar Off Campus Internship Advanced Spanish Grammar in Context Intermediate Chinese I Intro to Latina/o Literature Introduction to HCI Adult Development Social Psych in Society Lab Facility Management in Recreation, Sport and Tourism Sales Management Foundations of Early Childhood Education Intro to Abstract Algebra II Law and Society Advanced Hindi II",0.0,0.0
"previous courses_Introductory Chemistry Grainger Engineering Orientation Seminar Logic and Reasoning Engineering First-Year Experience Seminars Mexican-American History Fundamentals of Operations Management The Comic Imagination Marketing in Recreation, Sport and Tourism Fundamental Mathematics Small Fruit Production Language and; Minorities in Europe Race, Sex, and Deviance Readings in Literary Chinese Graduate Jazz Trombone Macroeconomic Theory II Firm Performance and HR Parallel Computer Architecture",0.0,0.0
previous courses_Jazz Bass Jazz Voice Jazz Bass Intermediate Chinese II Accelerated Chemistry Lab II Structure and Synthesis Electrical and Electronic Circuits Lab Intro to Social Issues Theatre Fluid Power Systems Urban Informatics II Acting Studio II: Voice International Perspectives Community Health Internship Embedded Systems IC Device Theory and; Fabrication Ethnomusicology Performance Ensembles Advanced Topics in Data Analytics and; Data Science Graduate Internship,0.0,0.0
previous courses_Jazz Percussion Saxophone Intro Computing: Engrg and; Sci Univ Physics: Thermal Physics Early Childhood Curriculum Dev Exp Techniqs in Cellular Biol Junior Recital GWS Internship General Speech Science Senior Engineering Project I Robot Dynamics and Control Internship Seminar Drawing and Modeling Introduction to Robotics Design Workshop G-I Graduate CHBE Internship Synthesis Laboratory,0.0,0.0
previous courses_Jazz Saxophone Intro to Global Studies Introduction to Global Markets and Society Cooperative Education Practice Sociocultural Anthropology Intro to Social Issues Theatre Mexican-American History Dancing Techniques Elective Audio Journalism Disability in American Society Translating Your IB Degree Into Career Success Educational Practice in Secondary Education Curriculum Development II Latin Jazz Ensemble Advanced Trumpet Independent Study Principles and Methods of Teaching Psychology Advanced Special Topics Advanced Special Topics Graduate Jazz Voice Graduate Level Lyric Theatre Voice Numerical Methods for PDEs Quantitative Methods in LER,0.0,0.0
"previous courses_Jazz Voice Stars and Galaxies Severe and Hazardous Weather Peer Education Facilitation and Harm Reduction Skills Horn Fundamentals of Real Estate Health, Illness and Society",0.0,0.0
previous courses_Leadership Laboratory Broadway Musicals Leadership Laboratory Survey of World Cinema II Education Study Abroad Grilling and BBQ Science Landscape Construction International Perspectives Acting Studio IV: Dynamics Chamber Music Capstone Project,0.0,0.0
previous courses_Leadership Laboratory General Chemistry Lab II Piano Supp WW Inst: Bassoon Teaching Activities II Linear Algebra with Computational Applications URAP Research Apprenticeship Practicum II Study Abroad,0.0,0.0
"previous courses_Life With Animals and Biotech Child, Comm, and; Lang Ability Wildlife Conservation in the 21st Century Voice Undergrad Research or Thesis Literature and Medicine Introduction to Mediated Communication Behavioral Neuroscience Independent Study I Latina/o Media in the US Big Data Platforms Leadership and Ethics Leading Individuals and Teams Colloquium Clin and; Applied Ex Physiology Early Literacy Advanced Jazz Voice Senior Thesis Internship Research in Selected Topics Torts Special Studies Musculoskeletal and Integumentary System Computer Vision Thesis",-7.308749482035637e-05,0.00011990871243645695
"previous courses_Literature of Fantasy Communicating and Presenting in Engineering Intermediate Spanish Food, Culture, and Society Cells, Tissues and; Development Consumer Insight Language in Globalization Cloud Physics Biomechanics of Human Movement",0.0,0.0
"previous courses_Literature of Fantasy Introduction to Sociology Introduction to Spanish Grammar Russia and Black America Philosophical Foundations of Computer Science Biotechnology in Agriculture Hospitality Management: Professional Issues Business Side of Engineering Intro to Intercultural Comm Evolution Environmental Writing Topics in International Business Space, Time, and Matter-ACP Topics in Medieval British and Irish Literature Number Theory Thermal and; Statistical Physics Economics of Labor Markets Advanced Special Topics Excavation and Support Systems Dispute Resolution Real Estate Finance Urogynecology Auditing and; Assurance Standards Special Problems",0.0,0.0
previous courses_Little Bits to Big Ideas Theory of Arithmetic Jazz Guitar Site Design Studio Chicago: Planning and; Urban Life Intro to Lighting Design Dance II Advanced Study Abroad Twentieth Century Europe,0.0,0.0
"previous courses_MEP Mentoring Orientation KIN and; Comm Health Little Bits to Big Ideas Identity and Difference in Education School and; Community Experiences Advanced Course in a Less Commonly Taught Language I Horticulture Internship Human Development and Recreation, Sport and Tourism Water Planet, Water Crisis Philosophy of Religion Actuarial Statistics I Radiation Protection",0.0,0.0
previous courses_Musicianship II Undergraduate Open Seminar Undergraduate Open Seminar in Computer Science Natural Disasters College Physics: Mech and; Heat Singing in Musical Theatre US Racial and; Ethnic Politics Cell and; Tissue Engineering Lab 19thC Romanticism and; Politics System Programming Photography Workshop Dancing Black Popular Culture,3.1739752739667895e-05,0.00010482210627247355
"previous courses_Natural Disasters Jazz Guitar Intro to British Literature Second-Year Ukrainian II Romantic Literature and Culture Environment and Society Practicum in Recreation, Sport and Tourism Principles Bus Comm",0.0,0.0
previous courses_Physical Geology General Chemistry Lab I Undergraduate Open Seminar Jazz Bass,5.712639540433883e-06,3.1694099595116264e-05
previous courses_Popular Music Studies Honors Uncommon Reads Special Topics in Advertising Introduction to Statics Topics in Film and History Advanced Digital Projects Lab Environmental Writing Advanced Chinese II Special Topics in Turkish Advanced Oboe Advanced Topics in Neuroscience Randomized Algorithms Financial Statement Fraud Numerical Methods for PDEs Independent Study Seminar in EALC,0.0,0.0
previous courses_Practicum I Basics of Project Management Jazz Saxophone Trumpet Artsful Teaching through Integ Data Structures,0.0,0.0
"previous courses_Preparation for Calculus The Basics of Game Design Literature of Fantasy Language, Technology and; Society Introduction to Journalism Instrumentation and Test Lab Medieval Civilization Classical Mechanics I Modeling and Learning in Data Science",0.0,0.0
"previous courses_Preparation for Calculus Undergraduate Open Seminar The Oceans Politics of the National Parks Aerospace Flight Mechanics Structure and Synthesis Exploring Cultural Diversity Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers Japan Lit in Translation I Leading Negotiations Musculoskeletal Anatomy Consulting for Information Professionals Investment Banking Phenomenology Interdisciplinary Design Proj Bacterial Pathogenesis Nutrition Assessment and; Therapy Numerical Fluid Dynamics Kinesiology Research Methods Palliative Care – Introduction Writing Workshop in Poetry Finance for Engineering Mgmt Advanced Litigation Topics Risk Analysis in the Geosciences Graduate Jazz Trumpet",2.7764588594436644e-06,4.459939077589243e-05
previous courses_Public Speaking Undergraduate Open Seminar,0.0,0.0
"previous courses_Sea Power and Maritime Affairs Cities in a Global Perspective Cello Principles Bus Comm U.S. Race and Empire The Politics of Fashion Transportation Engineering Classical Mechanics I Race, Sex, and Deviance Evolution of Infectious Disease Psychology of Advertising Investment and; Portfolio Mngt Non Euclidean Geometry Adv Topics in Criminal Law Advanced Anatomy Interdisciplinary Tox Sem Theory of Probability I Hydrologic Variability Statistical Physics Seminar: Methods Criticism Special Topics Graduate Level Lyric Theatre Voice",0.0,0.0
previous courses_Stars and Galaxies Undergraduate Open Seminar String Instrument Class Undergraduate Open Seminar Introduction to Sociology Environment and Society Language in Globalization Let’s Play: Understanding the Role of Play in Life and Art,0.0,0.0
previous courses_Statistics Bioscience of Human Movement Jazz Bass Undergraduate Open Seminar Piano,0.0,0.0
"previous courses_Stereotypes, Prejudice and; Discrimination Data Science Discovery Beginning Composition MEP Mentoring Spanish Composition Diversity in Recreation, Sport, and Tourism Principles of CHE Construction Engineering Language and Race Advanced Trumpet Energy Conversion Systems Language and; Minorities in Europe Materials for Nanotechnology",1.0253209620714187e-05,7.74337687982037e-05
previous courses_Supp Brass Inst: Trumpet Fundamentals of Acting II Organ Design for Manufacturability Physical Activity Research Methods,3.2203830778598784e-05,6.084614496880929e-05
"previous courses_Supp WW Inst: Bassoon Intermediate French II Supp WW Inst: Clarinet Harp Leadership Laboratory AHS Study Abroad Breeding Animal Evaluation Planning Internship Special Topics in Game Studies and; Design Food Animal Production, Management, and Evaluation Exper in the Agency Setting Internship Seminar Advanced Voice Intermediate Swahili II",0.0,0.0
previous courses_Supp WW Inst: Bassoon Introduction to Spanish Grammar Undergraduate Open Seminar Social Issues Group Dialogues ABE Principles: Bioenvironment History of Medicine in the United States,0.0001257220283150673,0.00015429572444263957
previous courses_Supp WW Inst: Saxophone Bioscience of Human Movement Dancing Techniques II Software Design Lab Linear Algebra for Data Science On Campus Internship Genetic Engineering Lab,-6.630085408687592e-05,0.0001042318854825866
previous courses_Supp WW Inst: Saxophone Production Practicum I Introduction to Japanese Aesthetics Data Science Discovery School and; Community Experiences Linear Algebra for Data Science Chemistry Internship Dancing Techniques II News Editing Instrumental Chem Systems Lab Advanced Community Projects Designing for Human Well-being General Speech Science Devising Social Issues Theatre Hip-Hop Collective Women's Glee Club,-3.585508093237877e-05,2.138716777610084e-05
previous courses_The Biology of Dinosaurs Elementary Italian II Stress Management The World Food Economy Warfare Milit Insts and; Soc Intermediate Composition Statics Climate Processes Undergraduate Seminar Field Geology Special Topics in Finance Reading French Grads Artist Diploma Recital Advanced Topics In Information Organizations Special Topics Doctoral ProSeminar,0.0,0.0
"previous courses_Theory of Arithmetic Undergraduate Open Seminar Elementary Greek II Undergraduate Open Seminar in Computer Science Introduction to Electronics Communicating Agriculture Structure and Synthesis Diversity: Identities and; Issues Principles of Public Policy Designing and Managing Orgs Undergraduate Seminar International Economics Technology Applications for Teachers Language and the Brain Microwave Devices and; Circuits Innovation and Introduction to Financial Decision Making Modern Architectural History, 1850-Present Thesis Research Accounting Analytics Applications",-2.2551603615283965e-05,6.150172285838066e-05
previous courses_Tuba Introduction to Japanese Aesthetics Repertory Company Structure and Synthesis Univ Physics: Thermal Physics,0.0,0.0
"previous courses_Tuba Spanish in the Professions DGS Honors Seminar Undergraduate Open Seminar Asian Film Genres Language and; Culture of Deaf Communities Computer Architecture FinTech in Personal Finance and Financial Planning Soc Impacts Weather and; Climate Neuroscience for Engineers Introduction to Critical Theory Adv Topics in Creative Writing Immigration, Health and; Society Artificial Intelligence Corporate and; Commercial Law Intro to Applied Econometrics Media Entrepreneurship Dietary Prevention of Cardiovascular and Other Chronic Diseases A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems II School District Financial Management Chemical Biology Seminar Advanced Equine Lameness Psychiatry Clerkship Theory Energy and; Sustain Engrg Case Studies in Educational Ethics Innovations in Problem Based Learning Graduate Internship Experience Consulting in Human Resource Development",0.0,0.0
previous courses_US History Since 1877 Introduction to Communication Survey of Interdisc Health Social History of Games and Gaming International Experience Language and; Culture of Deaf Communities Health Statistics Warfare Milit Insts and; Soc Computer Architecture Modern Political Theory Information Security Management Introduction to Data Storytelling Varieties of Spoken Spanish Principles of Public Policy,0.0,0.0
previous courses_Undergraduate Open Seminar Contemporary Nutrition Introduction to Computer Science II Early American Literature and Culture Environmental Politics and; Policy Intro to Japanese Culture Heat Transfer Europe in the World Third Year Bosnian-Croatian-Serbian II,0.0,0.0
"previous courses_Undergraduate Open Seminar Dancing Techniques I Study Abroad Motor Develop, Growth and; Form Choreographic Laboratory I Intro to Social Issues Theatre DGS Study Abroad Eukaryotic Cell Biology Laboratory Undergraduate Group Seminar Plant Systematics Dynamics of Mechanical Systems Synoptic Weather Forecasting Hindsley Symphonic Band Soil Mechanics and Behavior Ornithology Digestion, Nutrition, and; Metabolism Structures for the Stage II Orthopedic Trauma Palliative Care – Introduction Urban Design Research Studio Internship Graduate Level Harpsichord Statistical Methods II Weather and Climate Data Analytics Special Topics Legal Problems Graduate Jazz Guitar",0.0,0.0
previous courses_Undergraduate Open Seminar Emergence of Life Introduction to Advertising Bassoon Langand;Culture of Arab World The World Through Museums Afro-American Hist Since 1877 Data Structures Design of Structures and Mechanisms System Programming Fundamentals of Fluid Dynamics Critical Evaluation of Herbal Remedies Computer Security II Financial Data Management and Analysis Thesis Research Introduction to Academic Writing Mathematical Methods II Contracts Inorganic Chemistry Seminar Multimedia Storytelling,0.0,0.0
previous courses_Undergraduate Open Seminar Exploring Digital Info Technol Bioscience of Human Movement Accelerated Chemistry Lab II Newsgathering Across Platforms Site Design Studio DGS Study Abroad,0.0,0.0
